Date,AAPL
11/16/2016,109.99
11/15/2016,107.11
11/14/2016,105.71
11/11/2016,108.43
11/10/2016,107.79
11/09/2016,110.88
11/08/2016,111.06
11/07/2016,110.41
11/04/2016,108.84
11/03/2016,109.83
11/02/2016,111.59
11/01/2016,111.49
10/31/2016,113.54
10/28/2016,113.72
10/27/2016,114.48
10/26/2016,115.59
10/25/2016,118.25
10/24/2016,117.65
10/21/2016,116.60
10/20/2016,117.06
10/19/2016,117.12
10/18/2016,117.47
10/17/2016,117.55
10/14/2016,117.63
10/13/2016,116.98
10/12/2016,117.34
10/11/2016,116.30
10/10/2016,116.05
10/07/2016,114.06
10/06/2016,113.89
10/05/2016,113.05
10/04/2016,113.00
10/03/2016,112.52
09/30/2016,113.05
09/29/2016,112.18
09/28/2016,113.95
09/27/2016,113.09
09/26/2016,112.88
09/23/2016,112.71
09/22/2016,114.62
09/21/2016,113.55
09/20/2016,113.57
09/19/2016,113.58
09/16/2016,114.92
09/15/2016,115.57
09/14/2016,111.77
09/13/2016,107.95
09/12/2016,105.44
09/09/2016,103.13
09/08/2016,105.52
09/07/2016,108.36
09/06/2016,107.70
09/05/2016,107.73
09/02/2016,107.73
09/01/2016,106.73
08/31/2016,106.10
08/30/2016,106.00
08/29/2016,106.82
08/26/2016,106.94
08/25/2016,107.57
08/24/2016,108.03
08/23/2016,108.85
08/22/2016,108.51
08/19/2016,109.36
08/18/2016,109.08
08/17/2016,109.22
08/16/2016,109.38
08/15/2016,109.48
08/12/2016,108.18
08/11/2016,107.93
08/10/2016,108.00
08/09/2016,108.81
08/08/2016,108.37
08/05/2016,107.48
08/04/2016,105.87
08/03/2016,105.79
08/02/2016,104.48
08/01/2016,106.05
07/29/2016,104.21
07/28/2016,104.34
07/27/2016,102.95
07/26/2016,96.67
07/25/2016,97.34
07/22/2016,98.66
07/21/2016,99.43
07/20/2016,99.96
07/19/2016,99.87
07/18/2016,99.83
07/15/2016,98.78
07/14/2016,98.79
07/13/2016,96.87
07/12/2016,97.42
07/11/2016,96.98
07/08/2016,96.68
07/07/2016,95.94
07/06/2016,95.53
07/05/2016,94.99
07/04/2016,95.89
07/01/2016,95.89
06/30/2016,95.60
06/29/2016,94.40
06/28/2016,93.59
06/27/2016,92.04
06/24/2016,93.40
06/23/2016,96.10
06/22/2016,95.55
06/21/2016,95.91
06/20/2016,95.10
06/17/2016,95.33
06/16/2016,97.55
06/15/2016,97.14
06/14/2016,97.46
06/13/2016,97.34
06/10/2016,98.83
06/09/2016,99.65
06/08/2016,98.94
06/07/2016,99.03
06/06/2016,98.63
06/03/2016,97.92
06/02/2016,97.72
06/01/2016,98.46
05/31/2016,99.86
05/30/2016,100.35
05/27/2016,100.35
05/26/2016,100.41
05/25/2016,99.62
05/24/2016,97.90
05/23/2016,96.43
05/20/2016,95.22
05/19/2016,94.20
05/18/2016,94.56
05/17/2016,93.49
05/16/2016,93.88
05/13/2016,90.52
05/12/2016,90.34
05/11/2016,92.51
05/10/2016,93.42
05/09/2016,92.79
05/06/2016,92.72
05/05/2016,93.24
05/04/2016,94.19
05/03/2016,95.18
05/02/2016,93.64
04/29/2016,93.74
04/28/2016,94.83
04/27/2016,97.82
04/26/2016,104.35
04/25/2016,105.08
04/22/2016,105.68
04/21/2016,105.97
04/20/2016,107.13
04/19/2016,106.91
04/18/2016,107.48
04/15/2016,109.85
04/14/2016,112.10
04/13/2016,112.04
04/12/2016,110.44
04/11/2016,109.02
04/08/2016,108.66
04/07/2016,108.54
04/06/2016,110.96
04/05/2016,109.81
04/04/2016,111.12
04/01/2016,109.99
03/31/2016,108.99
03/30/2016,109.56
03/29/2016,107.68
03/28/2016,105.19
03/25/2016,105.67
03/24/2016,105.67
03/23/2016,106.13
03/22/2016,106.72
03/21/2016,105.91
03/18/2016,105.92
03/17/2016,105.80
03/16/2016,105.97
03/15/2016,104.58
03/14/2016,102.52
03/11/2016,102.26
03/10/2016,101.17
03/09/2016,101.12
03/08/2016,101.03
03/07/2016,101.87
03/04/2016,103.01
03/03/2016,101.50
03/02/2016,100.75
03/01/2016,100.53
02/29/2016,96.69
02/26/2016,96.91
02/25/2016,96.76
02/24/2016,96.10
02/23/2016,94.69
02/22/2016,96.88
02/19/2016,96.04
02/18/2016,96.26
02/17/2016,98.12
02/16/2016,96.64
02/15/2016,93.99
02/12/2016,93.99
02/11/2016,93.70
02/10/2016,94.27
02/09/2016,94.99
02/08/2016,95.01
02/05/2016,94.02
02/04/2016,96.60
02/03/2016,96.35
02/02/2016,94.48
02/01/2016,96.43
01/29/2016,97.34
01/28/2016,94.09
01/27/2016,93.42
01/26/2016,99.99
01/25/2016,99.44
01/22/2016,101.42
01/21/2016,96.30
01/20/2016,96.79
01/19/2016,96.66
01/18/2016,97.13
01/15/2016,97.13
01/14/2016,99.52
01/13/2016,97.39
01/12/2016,99.96
01/11/2016,98.53
01/08/2016,96.96
01/07/2016,96.45
01/06/2016,100.70
01/05/2016,102.71
01/04/2016,105.35
01/01/2016,105.26
12/31/2015,105.26
12/30/2015,107.32
12/29/2015,108.74
12/28/2015,106.82
12/25/2015,108.03
12/24/2015,108.03
12/23/2015,108.61
12/22/2015,107.23
12/21/2015,107.33
12/18/2015,106.03
12/17/2015,108.98
12/16/2015,111.34
12/15/2015,110.49
12/14/2015,112.48
12/11/2015,113.18
12/10/2015,116.17
12/09/2015,115.62
12/08/2015,118.23
12/07/2015,118.28
12/04/2015,119.03
12/03/2015,115.20
12/02/2015,116.28
12/01/2015,117.34
11/30/2015,118.30
11/27/2015,117.81
11/26/2015,118.03
11/25/2015,118.03
11/24/2015,118.88
11/23/2015,117.75
11/20/2015,119.30
11/19/2015,118.78
11/18/2015,117.29
11/17/2015,113.69
11/16/2015,114.18
11/13/2015,112.34
11/12/2015,115.72
11/11/2015,116.11
11/10/2015,116.77
11/09/2015,120.57
11/06/2015,121.06
11/05/2015,120.92
11/04/2015,122.00
11/03/2015,122.57
11/02/2015,121.18
10/30/2015,119.50
10/29/2015,120.53
10/28/2015,119.27
10/27/2015,114.55
10/26/2015,115.28
10/23/2015,119.08
10/22/2015,115.50
10/21/2015,113.76
10/20/2015,113.77
10/19/2015,111.73
10/16/2015,111.04
10/15/2015,111.86
10/14/2015,110.21
10/13/2015,111.79
10/12/2015,111.60
10/09/2015,112.12
10/08/2015,109.50
10/07/2015,110.78
10/06/2015,111.31
10/05/2015,110.78
10/02/2015,110.38
10/01/2015,109.58
09/30/2015,110.30
09/29/2015,109.06
09/28/2015,112.44
09/25/2015,114.71
09/24/2015,115.00
09/23/2015,114.32
09/22/2015,113.40
09/21/2015,115.21
09/18/2015,113.45
09/17/2015,113.92
09/16/2015,116.41
09/15/2015,116.28
09/14/2015,115.31
